,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
72,0 days 01:12:48.274000,19.0,65.0,1011.4,False,30.3,135,2.9
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
80,0 days 01:20:48.282000,18.8,66.0,1011.3,False,30.1,145,1.0
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
105,0 days 01:45:48.304000,18.6,67.0,1011.4,False,29.2,168,2.7
108,0 days 01:48:48.292000,18.6,67.0,1011.4,False,29.2,131,1.7
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
118,0 days 01:58:48.336000,18.4,67.0,1011.4,False,28.9,138,1.8
120,0 days 02:00:48.353000,18.3,67.0,1011.2,False,28.9,146,2.0
121,0 days 02:01:48.366000,18.3,67.0,1011.3,False,28.9,114,2.1
123,0 days 02:03:48.398000,18.4,67.0,1011.4,False,28.7,145,2.1
125,0 days 02:05:48.389000,18.4,67.0,1011.3,False,28.5,182,2.2
127,0 days 02:07:48.399000,18.4,68.0,1011.4,False,28.4,120,2.7
128,0 days 02:08:48.398000,18.4,68.0,1011.4,False,28.5,126,1.2
130,0 days 02:10:48.434000,18.4,68.0,1011.4,False,28.3,162,1.9
132,0 days 02:12:48.431000,18.4,67.0,1011.4,False,28.1,113,1.5
133,0 days 02:13:48.433000,18.4,67.0,1011.2,False,28.2,126,2.1
135,0 days 02:15:48.440000,18.4,67.0,1011.3,False,27.9,100,2.4
137,0 days 02:17:48.446000,18.3,67.0,1011.4,False,27.7,134,3.0
138,0 days 02:18:48.436000,18.3,67.0,1011.4,False,27.7,134,2.2
140,0 days 02:20:48.439000,18.2,67.0,1011.3,False,27.4,146,3.2
142,0 days 02:22:48.443000,18.2,68.0,1011.3,False,27.9,126,2.3
144,0 days 02:24:48.445000,18.2,68.0,1011.3,False,28.0,119,2.0
145,0 days 02:25:48.439000,18.2,68.0,1011.2,False,27.7,140,3.3
147,0 days 02:27:48.432000,18.2,68.0,1011.2,False,27.6,135,3.2
149,0 days 02:29:48.448000,18.2,68.0,1011.4,False,27.6,154,1.1
150,0 days 02:30:48.448000,18.2,68.0,1011.4,False,27.7,139,1.4
152,0 days 02:32:48.477000,18.2,68.0,1011.4,False,27.5,138,1.5
154,0 days 02:34:48.516000,18.2,67.0,1011.4,False,27.4,145,2.2
156,0 days 02:36:48.524000,18.1,68.0,1011.4,False,27.3,213,0.8
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
66,0 days 01:06:48.263000,19.0,66.0,1011.4,False,30.7,327,1.0
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
72,0 days 01:12:48.274000,19.0,65.0,1011.4,False,30.3,135,2.9
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
79,0 days 01:19:48.273000,18.9,65.0,1011.4,False,30.3,137,1.3
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
87,0 days 01:27:48.276000,18.5,67.0,1011.2,False,29.9,132,2.7
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
97,0 days 01:37:48.283000,18.6,67.0,1011.3,False,29.7,145,1.0
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
106,0 days 01:46:48.292000,18.6,66.0,1011.3,False,29.2,83,1.5
108,0 days 01:48:48.292000,18.6,67.0,1011.4,False,29.2,131,1.7
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
118,0 days 01:58:48.336000,18.4,67.0,1011.4,False,28.9,138,1.8
120,0 days 02:00:48.353000,18.3,67.0,1011.2,False,28.9,146,2.0
122,0 days 02:02:48.380000,18.4,67.0,1011.4,False,28.7,143,1.7
123,0 days 02:03:48.398000,18.4,67.0,1011.4,False,28.7,145,2.1
125,0 days 02:05:48.389000,18.4,67.0,1011.3,False,28.5,182,2.2
127,0 days 02:07:48.399000,18.4,68.0,1011.4,False,28.4,120,2.7
128,0 days 02:08:48.398000,18.4,68.0,1011.4,False,28.5,126,1.2
130,0 days 02:10:48.434000,18.4,68.0,1011.4,False,28.3,162,1.9
132,0 days 02:12:48.431000,18.4,67.0,1011.4,False,28.1,113,1.5
133,0 days 02:13:48.433000,18.4,67.0,1011.2,False,28.2,126,2.1
135,0 days 02:15:48.440000,18.4,67.0,1011.3,False,27.9,100,2.4
137,0 days 02:17:48.446000,18.3,67.0,1011.4,False,27.7,134,3.0
138,0 days 02:18:48.436000,18.3,67.0,1011.4,False,27.7,134,2.2
140,0 days 02:20:48.439000,18.2,67.0,1011.3,False,27.4,146,3.2
142,0 days 02:22:48.443000,18.2,68.0,1011.3,False,27.9,126,2.3
144,0 days 02:24:48.445000,18.2,68.0,1011.3,False,28.0,119,2.0
145,0 days 02:25:48.439000,18.2,68.0,1011.2,False,27.7,140,3.3
147,0 days 02:27:48.432000,18.2,68.0,1011.2,False,27.6,135,3.2
149,0 days 02:29:48.448000,18.2,68.0,1011.4,False,27.6,154,1.1
150,0 days 02:30:48.448000,18.2,68.0,1011.4,False,27.7,139,1.4
152,0 days 02:32:48.477000,18.2,68.0,1011.4,False,27.5,138,1.5
154,0 days 02:34:48.516000,18.2,67.0,1011.4,False,27.4,145,2.2
155,0 days 02:35:48.510000,18.2,68.0,1011.4,False,27.3,150,1.1
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
65,0 days 01:05:48.262000,19.0,66.0,1011.4,False,31.0,129,2.1
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
73,0 days 01:13:48.277000,18.9,65.0,1011.3,False,30.2,126,3.2
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
80,0 days 01:20:48.282000,18.8,66.0,1011.3,False,30.1,145,1.0
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
65,0 days 01:05:48.262000,19.0,66.0,1011.4,False,31.0,129,2.1
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
73,0 days 01:13:48.277000,18.9,65.0,1011.3,False,30.2,126,3.2
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
80,0 days 01:20:48.282000,18.8,66.0,1011.3,False,30.1,145,1.0
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
105,0 days 01:45:48.304000,18.6,67.0,1011.4,False,29.2,168,2.7
108,0 days 01:48:48.292000,18.6,67.0,1011.4,False,29.2,131,1.7
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
118,0 days 01:58:48.336000,18.4,67.0,1011.4,False,28.9,138,1.8
120,0 days 02:00:48.353000,18.3,67.0,1011.2,False,28.9,146,2.0
121,0 days 02:01:48.366000,18.3,67.0,1011.3,False,28.9,114,2.1
123,0 days 02:03:48.398000,18.4,67.0,1011.4,False,28.7,145,2.1
125,0 days 02:05:48.389000,18.4,67.0,1011.3,False,28.5,182,2.2
126,0 days 02:06:48.396000,18.4,67.0,1011.4,False,28.5,135,1.4
128,0 days 02:08:48.398000,18.4,68.0,1011.4,False,28.5,126,1.2
130,0 days 02:10:48.434000,18.4,68.0,1011.4,False,28.3,162,1.9
132,0 days 02:12:48.431000,18.4,67.0,1011.4,False,28.1,113,1.5
133,0 days 02:13:48.433000,18.4,67.0,1011.2,False,28.2,126,2.1
135,0 days 02:15:48.440000,18.4,67.0,1011.3,False,27.9,100,2.4
137,0 days 02:17:48.446000,18.3,67.0,1011.4,False,27.7,134,3.0
138,0 days 02:18:48.436000,18.3,67.0,1011.4,False,27.7,134,2.2
140,0 days 02:20:48.439000,18.2,67.0,1011.3,False,27.4,146,3.2
142,0 days 02:22:48.443000,18.2,68.0,1011.3,False,27.9,126,2.3
143,0 days 02:23:48.439000,18.2,68.0,1011.2,False,28.0,129,2.1
145,0 days 02:25:48.439000,18.2,68.0,1011.2,False,27.7,140,3.3
147,0 days 02:27:48.432000,18.2,68.0,1011.2,False,27.6,135,3.2
148,0 days 02:28:48.442000,18.2,68.0,1011.3,False,27.7,122,3.1
150,0 days 02:30:48.448000,18.2,68.0,1011.4,False,27.7,139,1.4
152,0 days 02:32:48.477000,18.2,68.0,1011.4,False,27.5,138,1.5
154,0 days 02:34:48.516000,18.2,67.0,1011.4,False,27.4,145,2.2
155,0 days 02:35:48.510000,18.2,68.0,1011.4,False,27.3,150,1.1
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
66,0 days 01:06:48.263000,19.0,66.0,1011.4,False,30.7,327,1.0
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
73,0 days 01:13:48.277000,18.9,65.0,1011.3,False,30.2,126,3.2
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
80,0 days 01:20:48.282000,18.8,66.0,1011.3,False,30.1,145,1.0
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
105,0 days 01:45:48.304000,18.6,67.0,1011.4,False,29.2,168,2.7
108,0 days 01:48:48.292000,18.6,67.0,1011.4,False,29.2,131,1.7
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
118,0 days 01:58:48.336000,18.4,67.0,1011.4,False,28.9,138,1.8
120,0 days 02:00:48.353000,18.3,67.0,1011.2,False,28.9,146,2.0
121,0 days 02:01:48.366000,18.3,67.0,1011.3,False,28.9,114,2.1
123,0 days 02:03:48.398000,18.4,67.0,1011.4,False,28.7,145,2.1
125,0 days 02:05:48.389000,18.4,67.0,1011.3,False,28.5,182,2.2
127,0 days 02:07:48.399000,18.4,68.0,1011.4,False,28.4,120,2.7
128,0 days 02:08:48.398000,18.4,68.0,1011.4,False,28.5,126,1.2
130,0 days 02:10:48.434000,18.4,68.0,1011.4,False,28.3,162,1.9
132,0 days 02:12:48.431000,18.4,67.0,1011.4,False,28.1,113,1.5
134,0 days 02:14:48.433000,18.4,67.0,1011.2,False,28.1,123,2.5
135,0 days 02:15:48.440000,18.4,67.0,1011.3,False,27.9,100,2.4
137,0 days 02:17:48.446000,18.3,67.0,1011.4,False,27.7,134,3.0
139,0 days 02:19:48.437000,18.2,67.0,1011.3,False,27.6,129,1.7
140,0 days 02:20:48.439000,18.2,67.0,1011.3,False,27.4,146,3.2
142,0 days 02:22:48.443000,18.2,68.0,1011.3,False,27.9,126,2.3
144,0 days 02:24:48.445000,18.2,68.0,1011.3,False,28.0,119,2.0
145,0 days 02:25:48.439000,18.2,68.0,1011.2,False,27.7,140,3.3
147,0 days 02:27:48.432000,18.2,68.0,1011.2,False,27.6,135,3.2
149,0 days 02:29:48.448000,18.2,68.0,1011.4,False,27.6,154,1.1
150,0 days 02:30:48.448000,18.2,68.0,1011.4,False,27.7,139,1.4
152,0 days 02:32:48.477000,18.2,68.0,1011.4,False,27.5,138,1.5
154,0 days 02:34:48.516000,18.2,67.0,1011.4,False,27.4,145,2.2
155,0 days 02:35:48.510000,18.2,68.0,1011.4,False,27.3,150,1.1
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
65,0 days 01:05:48.262000,19.0,66.0,1011.4,False,31.0,129,2.1
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
73,0 days 01:13:48.277000,18.9,65.0,1011.3,False,30.2,126,3.2
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
79,0 days 01:19:48.273000,18.9,65.0,1011.4,False,30.3,137,1.3
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
99,0 days 01:39:48.288000,18.6,66.0,1011.3,False,29.4,104,2.0
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
105,0 days 01:45:48.304000,18.6,67.0,1011.4,False,29.2,168,2.7
107,0 days 01:47:48.308000,18.6,67.0,1011.4,False,29.2,153,1.1
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
118,0 days 01:58:48.336000,18.4,67.0,1011.4,False,28.9,138,1.8
120,0 days 02:00:48.353000,18.3,67.0,1011.2,False,28.9,146,2.0
121,0 days 02:01:48.366000,18.3,67.0,1011.3,False,28.9,114,2.1
123,0 days 02:03:48.398000,18.4,67.0,1011.4,False,28.7,145,2.1
125,0 days 02:05:48.389000,18.4,67.0,1011.3,False,28.5,182,2.2
126,0 days 02:06:48.396000,18.4,67.0,1011.4,False,28.5,135,1.4
128,0 days 02:08:48.398000,18.4,68.0,1011.4,False,28.5,126,1.2
130,0 days 02:10:48.434000,18.4,68.0,1011.4,False,28.3,162,1.9
132,0 days 02:12:48.431000,18.4,67.0,1011.4,False,28.1,113,1.5
133,0 days 02:13:48.433000,18.4,67.0,1011.2,False,28.2,126,2.1
135,0 days 02:15:48.440000,18.4,67.0,1011.3,False,27.9,100,2.4
137,0 days 02:17:48.446000,18.3,67.0,1011.4,False,27.7,134,3.0
138,0 days 02:18:48.436000,18.3,67.0,1011.4,False,27.7,134,2.2
140,0 days 02:20:48.439000,18.2,67.0,1011.3,False,27.4,146,3.2
142,0 days 02:22:48.443000,18.2,68.0,1011.3,False,27.9,126,2.3
143,0 days 02:23:48.439000,18.2,68.0,1011.2,False,28.0,129,2.1
145,0 days 02:25:48.439000,18.2,68.0,1011.2,False,27.7,140,3.3
147,0 days 02:27:48.432000,18.2,68.0,1011.2,False,27.6,135,3.2
148,0 days 02:28:48.442000,18.2,68.0,1011.3,False,27.7,122,3.1
150,0 days 02:30:48.448000,18.2,68.0,1011.4,False,27.7,139,1.4
152,0 days 02:32:48.477000,18.2,68.0,1011.4,False,27.5,138,1.5
153,0 days 02:33:48.492000,18.2,67.0,1011.4,False,27.4,138,1.5
155,0 days 02:35:48.510000,18.2,68.0,1011.4,False,27.3,150,1.1
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
65,0 days 01:05:48.262000,19.0,66.0,1011.4,False,31.0,129,2.1
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
72,0 days 01:12:48.274000,19.0,65.0,1011.4,False,30.3,135,2.9
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
79,0 days 01:19:48.273000,18.9,65.0,1011.4,False,30.3,137,1.3
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
86,0 days 01:26:48.277000,18.6,67.0,1011.3,False,29.9,127,2.5
88,0 days 01:28:48.277000,18.6,67.0,1011.2,False,29.9,142,3.2
90,0 days 01:30:48.270000,18.7,66.0,1011.2,False,29.6,122,3.5
92,0 days 01:32:48.282000,18.6,66.0,1011.4,False,29.5,133,3.4
94,0 days 01:34:48.281000,18.6,66.0,1011.3,False,29.4,144,2.5
96,0 days 01:36:48.283000,18.6,67.0,1011.3,False,29.7,160,1.9
98,0 days 01:38:48.289000,18.6,67.0,1011.3,False,29.4,142,1.9
101,0 days 01:41:48.285000,18.7,66.0,1011.4,False,29.4,139,2.7
103,0 days 01:43:48.289000,18.7,66.0,1011.3,False,29.5,149,2.6
105,0 days 01:45:48.304000,18.6,67.0,1011.4,False,29.2,168,2.7
107,0 days 01:47:48.308000,18.6,67.0,1011.4,False,29.2,153,1.1
110,0 days 01:50:48.295000,18.5,67.0,1011.4,False,29.2,160,2.5
112,0 days 01:52:48.322000,18.4,67.0,1011.5,False,28.9,136,1.5
115,0 days 01:55:48.302000,18.5,66.0,1011.5,False,28.8,227,1.8
116,0 days 01:56:48.331000,18.3,67.0,1011.4,False,28.8,90,1.7
55,0 days 00:55:48.257000,18.8,66.0,1011.5,False,30.3,122,1.4
57,0 days 00:57:48.260000,18.7,66.0,1011.5,False,31.3,175,1.1
59,0 days 00:59:48.261000,18.8,65.0,1011.5,False,30.4,0,1.0
60,0 days 01:00:48.265000,18.8,65.0,1011.4,False,31.0,129,1.5
62,0 days 01:02:48.267000,19.0,65.0,1011.5,False,30.5,152,3.2
64,0 days 01:04:48.263000,19.0,66.0,1011.3,False,30.7,138,1.6
65,0 days 01:05:48.262000,19.0,66.0,1011.4,False,31.0,129,2.1
67,0 days 01:07:48.256000,19.0,65.0,1011.4,False,30.7,249,1.8
69,0 days 01:09:48.265000,19.0,65.0,1011.5,False,30.7,136,2.3
71,0 days 01:11:48.268000,19.0,65.0,1011.5,False,30.6,144,2.3
73,0 days 01:13:48.277000,18.9,65.0,1011.3,False,30.2,126,3.2
74,0 days 01:14:48.270000,18.9,66.0,1011.3,False,30.2,141,2.5
76,0 days 01:16:48.270000,18.8,66.0,1011.4,False,30.5,220,1.2
78,0 days 01:18:48.270000,18.9,66.0,1011.4,False,30.3,180,1.5
79,0 days 01:19:48.273000,18.9,65.0,1011.4,False,30.3,137,1.3
81,0 days 01:21:48.275000,18.8,65.0,1011.3,False,30.1,180,2.7
83,0 days 01:23:48.274000,18.6,66.0,1011.2,False,29.8,246,2.5
85,0 days 01:25:48.280000,18.6,66.0,1011.3,False,29.7,135,1.6
